restaurant_id,restaurant_name,restaurant_address,company_number,company_name,company_status,company_type,incorporation_date,registered_address,sic_codes,confidence,match_reason
74,Costa Coffee Plymouth,"Unit3 Drake Circus, SC, Plymouth PL1 1EA, UK",05552073,COSTA COFFEE LIMITED,active,ltd,2005-09-01,"3-5 London Road, Rainham, Gillingham, Kent, England, ME8 7RG",,75.0,"exact_name, active"
340,Dolphin Hotel,"14 The Barbican, Plymouth PL1 2LS, UK",09896267,DOLPHIN HOTEL PROPERTY LIMITED,active,ltd,2015-12-01,"5 Block 23 Melville Royal William Yard, Plymouth, England, PL1 3RP",,97.0,"partial_name, postcode_match, plymouth_area, active"
65,Domino's Pizza Plymouth,"65-67 Exeter St, Plymouth PL4 0AH, UK",16000994,NSA PIZZA LIMITED,active,ltd,2024-10-07,"50 Glen Park Avenue, Plymouth, England, PL4 6BD",,95.9090909090909,"partial_name, postcode_match, plymouth_area, active"
232,Dunya Restaurant Turkish Cuisine,"10 Derrys Cross, Plymouth PL1 2SH, UK",12156178,DUNYA RESTAURANTS LTD,active,ltd,2019-08-14,"Gnd Flr 10 Derrys Cross Plymouth, England, PL1 2SH",,93.57142857142857,"partial_name, postcode_match, plymouth_area, active"
242,Fig & Thyme Kitchen,"58 Southside St, Plymouth PL1 2LA, UK",14500664,FIG AND THYME LTD,active,ltd,2022-11-23,"58 Southside Street, Plymouth, Devon, United Kingdom, PL1 2LA",,88.75,"partial_name, postcode_match, plymouth_area, active"
194,Five Guys Plymouth,"Unit 9, The Barcode, Plymouth PL4 0FE, UK",08643684,FIVE GUYS LTD,active,ltd,2013-08-08,"10 John Street, London, WC1N 2EB",,75.0,"exact_name, active"
359,Golden Hind,"260 Mannamead Rd, Plymouth PL3 5RJ, UK",16026658,GOLDEN HIND PROPERTIES LTD,active,ltd,2024-10-18,"Pilgrim House, Oxford Place, Plymouth, United Kingdom, PL1 5AJ",,76.66666666666666,"partial_name, postcode_nearby, plymouth_area, active"
57,Gourmet Burger Kitchen Plymouth,"47 Bretonside, Plymouth PL4 0BB, UK",06800894,GOURMET BURGER KITCHEN (UK) LIMITED,active,ltd,2009-01-26,"2nd Floor Colmore Court, 9 Colmore Row, Birmingham, West Midlands, United Kingdom, B3 2BJ",,70.53191489361703,"similar_name, active"
35,Greggs Plymouth,"U3A, Marsh Mills Retail Park, Plymouth PL6 8LX, UK",00502851,GREGGS PLC,active,plc,1951-12-29,"Greggs House, Quorum Business Park, Newcastle Upon Tyne, United Kingdom, NE12 8BU",,75.0,"exact_name, active"
120,Himalayan Spice,"31 New St, Plymouth PL1 2NA, UK",11216252,HIMALAYAN SPICE PLYMOUTH LTD,active,ltd,2018-02-21,"31 New Street, Plymouth, England, PL1 2NA",,98.84615384615384,"partial_name, postcode_match, plymouth_area, active"
